X,Y,OBJECTID,YINFO_ID,NAME,POINT_NM,MATERIAL,DPWT,ADR_KNM,CATEGORY,ID,OBS_CODE,OBS_POST_ID
126.5273056,37.12244444,S10029,F1010,입파도·국화도,입파도 학산서 부근,"펄, 모래",15~18,경기도 화성시,0,29,DT_0002,평택
126.5227778,37.09291667,S10030,F1010,입파도·국화도,입파도 남서측 바다,"펄, 모래",31~34,경기도 화성시,0,30,DT_0002,평택
126.5634444,37.08072222,S10031,F1010,입파도·국화도,국화도 북동측 바다,모래,24.5~30,경기도 화성시,0,31,DT_0002,평택
126.5455556,37.04922222,S10032,F1010,입파도·국화도,국화도 등표 부근,펄,24~28,경기도 화성시,0,32,DT_0002,평택
126.4002778,37.12113889,S10033,F1011,풍도·난지도,풍도 북동측 바다,"자갈, 조개껍질",25~27,경기도 안산시,0,33,DT_0008,안산
126.4128611,37.08419444,S10034,F1011,풍도·난지도,풍도 남동측 바다,모래,26~28,경기도 안산시,0,34,DT_0008,안산
126.3785556,37.08530556,S10035,F1011,풍도·난지도,풍도 남서측 바다,모래,18~20,경기도 안산시,0,35,DT_0008,안산
126.4113056,37.05719444,S10036,F1011,풍도·난지도,대난지도 철도 부근,모래,12~16,경기도 안산시,0,36,DT_0008,안산
126.4495833,37.02822222,S10037,F1011,풍도·난지도,소난지도 우모도 부근,모래,23~24,경기도 안산시,0,37,DT_0008,안산
126.4298889,37.02825,S10038,F1011,풍도·난지도,소난지도 비경도 부근,모래,25~28,경기도 안산시,0,38,DT_0008,안산
126.4218889,36.39044444,S10039,F1012,원산도·삽시도,증도 부근,모래,3.8~5.6,충청남도 보령시,0,39,DT_0025,보령
126.3892222,36.34069444,S10040,F1012,원산도·삽시도,납작도 부근,"펄, 모래",6.3~8.3,충청남도 보령시,0,40,DT_0025,보령
126.3311389,36.34397222,S10041,F1012,원산도·삽시도,면삽지 앞바다,"모래, 조개껍질",5.2~6.1,충청남도 보령시,0,41,DT_0025,보령
126.3168333,36.36163889,S10042,F1012,원산도·삽시도,물건서 부근,"모래, 펄",15~19,충청남도 보령시,0,42,DT_0025,보령
126.2502222,36.31322222,S10043,F1013,호도·녹도·외연도,명덕도 부근,모래,17~22,충청남도 보령시,0,43,DT_0025,보령
126.2794722,36.26583333,S10044,F1013,호도·녹도·외연도,석도 부근,모래,6.8~9,충청남도 보령시,0,44,DT_0025,보령
126.2771111,36.25636111,S10045,F1013,호도·녹도·외연도,소화사도 부근,"펄, 모래",11~15,충청남도 보령시,0,45,DT_0025,보령
126.2473333,36.27177778,S10046,F1013,호도·녹도·외연도,모도 부근,모래,13.7~16,충청남도 보령시,0,46,DT_0025,보령
126.0645556,36.23161111,S10047,F1013,호도·녹도·외연도,흑서 부근,펄,14~16,충청남도 보령시,0,47,DT_0025,보령
126.0872222,36.20208333,S10048,F1013,호도·녹도·외연도,초망서 부근,"펄, 조개껍질",21.5~27.5,충청남도 보령시,0,48,DT_0025,보령
125.9729722,36.13222222,S10049,F1014,어청도·연도,어청도 등대 북쪽 부근,펄,44~50,전라북도 군산시,0,49,DT_0037,어청도
126.0016667,36.121,S10050,F1014,어청도·연도,어청도 한우담 앞바다,모래,41~47,전라북도 군산시,0,50,DT_0037,어청도
125.9947222,36.10583333,S10051,F1014,어청도·연도,어청도 가진서 부근,모래,22~30,전라북도 군산시,0,51,DT_0037,어청도
126.4265556,36.09052778,S10052,F1014,어청도·연도,연도 북서쪽 부근,모래,10~14,전라북도 군산시,0,52,DT_0037,어청도
126.2175833,36.00227778,S10053,F1015,십이동파도·비안도,십이동파도 북도 북서측 바다,"펄, 모래",51~53,전라북도 군산시,0,53,DT_0018,군산
126.2279167,35.97883333,S10054,F1015,십이동파도·비안도,십이동파도 소금도 남서측 바다,"펄, 조개껍질",27~29.3,전라북도 군산시,0,54,DT_0018,군산
126.4658611,35.74502778,S10055,F1015,십이동파도·비안도,비안도 두리도 부근,가는 모래,4.3~5.1,전라북도 군산시,0,55,DT_0018,군산
126.4573056,35.72819444,S10056,F1015,십이동파도·비안도,비안도 치두도 부근,"모래, 펄",8.3~9.2,전라북도 군산시,0,56,DT_0018,군산
126.3025278,35.85819444,S10057,F1016,말도·방축도,말도 서쪽 바다,"모래, 조개껍질",8.6~30,전라북도 군산시,0,57,DT_0018,군산
126.3160556,35.86275,S10058,F1016,말도·방축도,말도 등대 앞바다,"모래, 조개껍질",26~30.5,전라북도 군산시,0,58,DT_0018,군산
126.32825,35.85572222,S10059,F1016,말도·방축도,말도와 보농도 사이 바다,"모래, 조개껍질",7~10,전라북도 군산시,0,59,DT_0018,군산
126.3460833,35.86055556,S10060,F1016,말도·방축도,솔푼서 부근,바위,15.2~18,전라북도 군산시,0,60,DT_0018,군산
126.3903889,35.85519444,S10061,F1016,말도·방축도,방축도 동쪽 바다,펄,33~37,전라북도 군산시,0,61,DT_0018,군산
126.3771667,35.82797222,S10062,F1016,말도·방축도,흑도와 골서 부근,"자갈, 조개껍질",12~15,전라북도 군산시,0,62,DT_0018,군산
126.3836944,35.811,S10063,F1017,선유도·무녀도·장자도·신시도,1. 증서 부근,가는 모래,13.6~15,전라북도 군산시,0,63,DT_0018,군산
126.3955833,35.82727778,S10064,F1017,선유도·무녀도·장자도·신시도,2. 광서 부근,"자갈, 조개껍질",6~8,전라북도 군산시,0,64,DT_0018,군산
126.44,35.83452778,S10065,F1017,선유도·무녀도·장자도·신시도,3. 도토머리도 부근,"모래, 펄",13~15,전라북도 군산시,0,65,DT_0018,군산
126.4436389,35.79716667,S10066,F1017,선유도·무녀도·장자도·신시도,"만서, 만자서 부근","모래, 펄",9~12,전라북도 군산시,0,66,DT_0018,군산
126.4521111,35.78808333,S10067,F1017,선유도·무녀도·장자도·신시도,"만서, 만자서 앞바다","모래, 펄",18~21,전라북도 군산시,0,67,DT_0018,군산
126.4004167,35.79247222,S10068,F1017,선유도·무녀도·장자도·신시도,장구도 앞바다,가는 모래,8~12,전라북도 군산시,0,68,DT_0018,군산
126.1011667,35.63788889,S10069,F1018,왕등도·위도,하왕등도 서쪽 바다,펄,28~34,전라북도 부안군,0,69,DT_0068,위도
126.1188611,35.66130556,S10070,F1018,왕등도·위도,상왕등도 대구섬 부근,"가는 모래, 펄",17~23,전라북도 부안군,0,70,DT_0068,위도
126.1374444,35.65869444,S10071,F1018,왕등도·위도,상왕등도 열도 부근,"가는 모래, 펄",24~30,전라북도 부안군,0,71,DT_0068,위도
126.2158333,35.63691667,S10072,F1018,왕등도·위도,식도 북쪽 바다,펄,28~30,전라북도 부안군,0,72,DT_0068,위도
126.25775,35.61138889,S10073,F1018,왕등도·위도,위도 달루도 부근,펄,11~13,전라북도 부안군,0,73,DT_0068,위도
126.2274444,35.58333333,S10074,F1018,왕등도·위도,위도 외조도 부근,바위,16~19,전라북도 부안군,0,74,DT_0068,위도
125.9239444,34.79425,S10075,F1019,비금도·도초도,우세도 부근,펄,7~10,전라남도 신안군,0,75,DT_0007,목포
125.9541667,34.82438889,S10076,F1019,비금도·도초도,토막도 부근,펄,12~18,전라남도 신안군,0,76,DT_0007,목포
125.96875,34.652,S10077,F1019,비금도·도초도,가도 부근,펄,14~19,전라남도 신안군,0,77,DT_0007,목포
125.9215556,34.64677778,S10078,F1019,비금도·도초도,종달암 부근,펄,28~32,전라남도 신안군,0,78,DT_0007,목포
125.37075,34.68475,S10079,F1020,흑산도·삼태도,"대장도, 소장도 부근","펄, 모래",30~45,전라남도 신안군,0,79,DT_0035,흑산도
125.4112778,34.71097222,S10080,F1020,흑산도·삼태도,대흑산도 호장도 부근,"펄, 모래",26.5~30,전라남도 신안군,0,80,DT_0035,흑산도
125.4440833,34.61811111,S10081,F1020,흑산도·삼태도,대흑산도 서산말 남동쪽 바다,"모래, 펄",25.5~40,전라남도 신안군,0,81,DT_0035,흑산도
125.2482222,34.39375,S10082,F1020,흑산도·삼태도,삼태도 넓은여 부근,모래,35~50,전라남도 신안군,0,82,DT_0035,흑산도
126.5414167,34.21711111,S10083,F1021,노화도·보길도·소안도,송도 부근,펄,6~8.5,전라남도 완도군,0,83,DT_0027,완도
126.6577222,34.21794444,S10084,F1021,노화도·보길도·소안도,각씨여 부근,"펄, 조개껍질",38~42,전라남도 완도군,0,84,DT_0027,완도
126.6601389,34.09822222,S10085,F1021,노화도·보길도·소안도,소안도 거망치각 앞바다,"펄, 조개껍질",40~42,전라남도 완도군,0,85,DT_0027,완도
126.5830833,34.12702778,S10086,F1021,노화도·보길도·소안도,예작도 부근,"펄, 모래",9.1~12,전라남도 완도군,0,86,DT_0027,완도
126.5038611,34.11058333,S10087,F1021,노화도·보길도·소안도,보길도 보죽각 앞바다,조개껍질,37~40,전라남도 완도군,0,87,DT_0027,완도
126.4652778,34.16244444,S10088,F1021,노화도·보길도·소안도,토금도 부근,"펄, 조개껍질",30~33,전라남도 완도군,0,88,DT_0027,완도
126.7825278,34.27486111,S10089,F1022,신지도,완도 대구두 앞바다,"모래, 조개껍질",24.5~26,전라남도 완도군,0,89,DT_0027,완도
126.8490278,34.29508333,S10090,F1022,신지도,신지도 최남단 앞바다,"펄, 조개껍질",13.5~18,전라남도 완도군,0,90,DT_0027,완도
126.89825,34.30444444,S10091,F1022,신지도,제도 부근,펄,11~15,전라남도 완도군,0,91,DT_0027,완도
126.9143611,34.28933333,S10092,F1022,신지도,모황도 부근,"펄, 조개껍질",25.5~33,전라남도 완도군,0,92,DT_0027,완도
126.7284722,34.18436111,S10093,F1023,청산도·대모도,대모도 마도말 앞바다,펄,31~35,전라남도 완도군,0,93,DT_0027,완도
126.8381389,34.20588889,S10094,F1023,청산도·대모도,장도 부근,"조개껍질, 펄",19~20,전라남도 완도군,0,94,DT_0027,완도
126.9550833,34.18425,S10095,F1023,청산도·대모도,항도 서측 바다,"펄, 모래",24~27,전라남도 완도군,0,95,DT_0027,완도
126.7651667,34.14927778,S10096,F1023,청산도·대모도,불근도 부근,펄,24~30,전라남도 완도군,0,96,DT_0027,완도
127.0956111,34.45963889,S10097,F1024,거금도,연흥도 부근,펄,5~8,전라남도 고흥군,0,97,DT_0026,고흥발포
127.2398611,34.50202778,S10098,F1024,거금도,감등서 부근,펄,18~23,전라남도 고흥군,0,98,DT_0026,고흥발포
127.2193611,34.42588889,S10099,F1024,거금도,소독도 부근,펄,13~16,전라남도 고흥군,0,99,DT_0026,고흥발포
127.1208611,34.42530556,S10100,F1024,거금도,형제도 부근,펄,7~11,전라남도 고흥군,0,100,DT_0026,고흥발포
127.3091944,34.07216667,S10101,F1025,여서도·거문도,거문도 반여 부근,"침니, 모래",35~50,전라남도 완도군,0,101,DT_0031,거문도
127.3411389,34.03041667,S10102,F1025,여서도·거문도,거문도 오지여 앞바다,"자갈, 조개껍질",31~48,전라남도 완도군,0,102,DT_0031,거문도
127.3186944,34.00130556,S10103,F1025,여서도·거문도,거문도 배치바위 앞바다,"펄, 모래, 자갈",65~70,전라남도 완도군,0,103,DT_0031,거문도
127.2790556,34.01852778,S10104,F1025,여서도·거문도,만수용단 앞바다,펄,58~63,전라남도 완도군,0,104,DT_0031,거문도
127.5345278,34.52763889,S10105,F1026,나로도,보돌서 부근,펄,11~15,전라남도 고흥군,0,105,DT_0026,고흥발포
127.5189167,34.49205556,S10106,F1026,나로도,내나로도 등대 앞바다,펄,7~10,전라남도 고흥군,0,106,DT_0026,고흥발포
127.492,34.40475,S10107,F1026,나로도,외나로도 노랑바위 앞바다,펄,24~28,전라남도 고흥군,0,107,DT_0026,고흥발포
127.4345278,34.49286111,S10108,F1026,나로도,숨은여 부근,모래,5~7,전라남도 고흥군,0,108,DT_0026,고흥발포
127.6919167,34.54988889,S10109,F1027,금오도·안도,용두 앞바다,펄,30~45,전라남도 여수시,0,109,DT_0016,여수
127.77125,34.55194444,S10110,F1027,금오도·안도,문서 부근,"펄, 모래",25~30,전라남도 여수시,0,110,DT_0016,여수
127.80325,34.52705556,S10111,F1027,금오도·안도,배다서 부근,펄,27~32,전라남도 여수시,0,111,DT_0016,여수
127.7662778,34.475,S10112,F1027,금오도·안도,구몽암 부근,펄,30~35,전라남도 여수시,0,112,DT_0016,여수
128.1632778,34.83944444,S10113,F1028,사량도,농개도 부근,"펄, 모래",24~29,경상남도 통영시,0,113,DT_0014,통영
128.1732778,34.82441667,S10114,F1028,사량도,죽도 부근,"펄, 모래",25~29,경상남도 통영시,0,114,DT_0014,통영
128.2603889,34.80633333,S10115,F1028,사량도,화도 부근,펄,15~18,경상남도 통영시,0,115,DT_0014,통영
128.2218611,34.77044444,S10116,F1028,사량도,남무도 부근,"펄, 모래, 조개껍질",27~30,경상남도 통영시,0,116,DT_0014,통영
128.25275,34.65883333,S10117,F1029,욕지도,모도 부근,"펄, 모래, 조개껍질",37~46,경상남도 통영시,0,117,DT_0014,통영
128.2987222,34.62702778,S10118,F1029,욕지도,초도 부근,"펄, 조개껍질",18~20,경상남도 통영시,0,118,DT_0014,통영
128.2756667,34.61233333,S10119,F1029,욕지도,가동서 부근,펄,27~31,경상남도 통영시,0,119,DT_0014,통영
128.2594167,34.61013889,S10120,F1029,욕지도,흑초 부근,펄,36~40,경상남도 통영시,0,120,DT_0014,통영
128.3169278,34.83972222,S10121,F1030,미륵도,태도 부근,펄,12~17,경상남도 통영시,0,121,DT_0014,통영
128.3630833,34.78736111,S10122,F1030,미륵도,곤리도 부근,펄,14~16,경상남도 통영시,0,122,DT_0014,통영
128.3654722,34.76572222,S10123,F1030,미륵도,가마도 부근,펄,40~48,경상남도 통영시,0,123,DT_0014,통영
128.4196944,34.75825,S10124,F1030,미륵도,학림도 부근,펄,23~30,경상남도 통영시,0,124,DT_0014,통영
128.4555278,34.72088889,S10125,F1031,비진도·매물도,비진도 춘복도 부근,"펄, 모래",13~17,경상남도 통영시,0,125,DT_0014,통영
128.4551389,34.70027778,S10126,F1031,비진도·매물도,비진도 소장서(노루여) 부근,펄,39~52,경상남도 통영시,0,126,DT_0014,통영
128.5451111,34.64541667,S10127,F1031,비진도·매물도,대매물도 가익도 부근,"펄, 모래, 조개껍질",43~47,경상남도 통영시,0,127,DT_0014,통영
128.5969444,34.61277778,S10128,F1031,비진도·매물도,소매물도 등가도 부근,"펄, 모래",38~42,경상남도 통영시,0,128,DT_0014,통영
128.4962778,34.94863889,S10129,F1032,거제도 북서부,만금여 부근,펄,16~19,경상남도 거제시,0,129,DT_0029,거제도
128.4820278,34.92736111,S10130,F1032,거제도 북서부,수도 부근,펄,15~17,경상남도 거제시,0,130,DT_0029,거제도
128.4835278,34.90594444,S10131,F1032,거제도 북서부,지도 부근,펄,15~18,경상남도 거제시,0,131,DT_0029,거제도
128.4655556,34.81930556,S10132,F1032,거제도 북서부,화도 부근,펄,16~18,경상남도 거제시,0,132,DT_0029,거제도
128.7245833,35.04125,S10133,F1033,거제도 북동부,망와도 부근,펄,32~46,경상남도 거제시,0,133,DT_0029,거제도
128.7344722,34.97308333,S10134,F1033,거제도 북동부,이수도 부근,펄,13~18,경상남도 거제시,0,134,DT_0029,거제도
128.7629444,34.90544444,S10135,F1033,거제도 북동부,양지암취 앞바다,펄,23~27,경상남도 거제시,0,135,DT_0029,거제도
128.7508056,34.83288889,S10136,F1033,거제도 북동부,지세포항 앞바다,찰흙,13~18,경상남도 거제시,0,136,DT_0029,거제도
128.5443056,34.69230556,S10137,F1034,거제도 남부,대덕도 부근,"펄, 모래",55~60,경상남도 거제시,0,137,DT_0029,거제도
128.6180278,34.69811111,S10138,F1034,거제도 남부,소병태도 부근,조개껍질,47~52,경상남도 거제시,0,138,DT_0029,거제도
128.6891111,34.72705556,S10139,F1034,거제도 남부,갈곶도 부근,"자갈, 조개껍질",38~55,경상남도 거제시,0,139,DT_0029,거제도
128.712,34.77519444,S10140,F1034,거제도 남부,외조라도 부근,"자갈, 조개껍질",33~40,경상남도 거제시,0,140,DT_0029,거제도
125.6803889,37.62858333,S20001,F2001,연평도,구지둔턱,암,5.3~15.9,인천광역시 옹진군,0,141,IE_0062,웅진소청초
126.3785833,37.696,S20002,F2002,석모도,외포리선착장 입표 부근 해상,"펄, 모래",10.0~20.0,인천광역시 강화군,0,142,DT_0032,강화대교
126.28225,37.74402778,S20003,F2002,석모도,서도부근 해상,암,2.9~7.5,인천광역시 강화군,0,143,DT_0032,강화대교
126.3233333,37.71219444,S20004,F2002,석모도,선모도 부근 해상,펄,-0.8~0.6,인천광역시 강화군,0,144,DT_0032,강화대교
126.3945833,37.53283333,S20005,F2003,시도,부도 부근 해상,"자갈, 모래",-3.0~1.7,인천광역시 옹진군,0,145,IE_0062,웅진소청초
126.4778889,37.51169444,S20006,F2003,시도,노랑섬 서측 간출암 부근 해상,펄,-2.3~1.8,인천광역시 옹진군,0,146,IE_0062,웅진소청초
126.3530833,37.45852778,S20007,F2004,영종도·용유도,왕산해변 북서측 해상,"모래, 펄",6.0~9.9,인천광역시 중구,0,147,DT_0044,영종대교
126.3547778,37.47591667,S20008,F2004,영종도·용유도,영종도 북측수문 북서측 해상,"모래, 펄",20.2~26,인천광역시 중구,0,148,DT_0044,영종대교
126.4473611,37.36938889,S20009,F2005,무의도,소무의도 동측 해상,"펄, 모래",0.8~2.1,인천광역시 중구,0,149,DT_0044,영종대교
126.4404167,37.36319444,S20010,F2005,무의도,해녀도 부근 해상,"펄, 모래",2.3~3.6,인천광역시 중구,0,150,DT_0044,영종대교
126.3893611,37.39552778,S20011,F2005,무의도,실미도 남서측 해상,"펄, 모래",-1.0~1.0,인천광역시 중구,0,151,DT_0044,영종대교
126.32675,36.50275,S20012,F2006,안면도 북부,방포항 방파제 앞 해상,"모래, 펄",0.6~1.2,충청남도 태안군,0,152,DT_0050,태안
126.4161389,36.52180556,S20013,F2006,안면도 북부,죽도 부근 해상,"모래, 펄",6.7~9.5,충청남도 태안군,0,153,DT_0050,태안
126.3754722,36.59366667,S20014,F2006,안면도 북부,황도 연육교 부근 해상,"모래, 펄",-2.4~-1.4,충청남도 태안군,0,154,DT_0050,태안
126.4536111,36.41341667,S20015,F2007,안면도 남부,목도 부근 해상,모래,10.4~12.8,인천광역시 옹진군,0,155,IE_0062,웅진소청초
126.3123056,36.45227778,S20016,F2007,안면도 남부,외도 부근 해상,암,10.4~12.8,인천광역시 옹진군,0,156,IE_0062,웅진소청초
126.0842778,36.67547222,S20017,F2008,가의도,남측 곶부리 앞 해상,암,14.4~18.9,충청남도 태안군,0,157,DT_0050,태안
126.0377778,36.66763889,S20018,F2008,가의도,단도 부근 해상,암,6.8~12.6,충청남도 태안군,0,158,DT_0050,태안
126.0595556,36.6825,S20019,F2008,가의도,선착장 서축 갯바위 앞 해상,"펄, 모래",19.8~21.1,충청남도 태안군,0,159,DT_0050,태안
126.0735556,36.68347222,S20020,F2008,가의도,선착장 앞 입표 부근 해상,"펄, 모래",13.3~13.5,충청남도 태안군,0,160,DT_0050,태안
126.0131667,35.32958333,S20021,F2010,안마도·석만도,문 끝 앞바다,암,1.8~6.5,인천광역시 중구,0,161,DT_0044,영종대교
126.0323611,35.33175,S20022,F2010,안마도·석만도,쌀썩은여 앞바다,펄,27.0~31.0,인천광역시 중구,0,162,DT_0044,영종대교
126.0564444,35.35097222,S20023,F2010,안마도·석만도,감곽여 부근 해상,암,21.5~23.0,인천광역시 중구,0,163,DT_0044,영종대교
126.0583889,35.36352778,S20024,F2010,안마도·석만도,똥 섬 부근 해상,펄,2.6~4.8,인천광역시 중구,0,164,DT_0044,영종대교
126.0578611,35.37105556,S20025,F2010,안마도·석만도,쎄지기 사이 해상,암,5.5~11.6,인천광역시 중구,0,165,DT_0044,영종대교
126.019,35.36544444,S20026,F2010,안마도·석만도,대장재여 부근 해상,"자갈, 조개껍질",10.5~18.2,인천광역시 중구,0,166,DT_0044,영종대교
126.0094167,35.35997222,S20027,F2010,안마도·석만도,장재여 부근 해상,암,5.8~10.4,인천광역시 중구,0,167,DT_0044,영종대교
125.9991667,35.35638889,S20028,F2010,안마도·석만도,죽도 부근 해상,암,8.4~10.3,인천광역시 중구,0,168,DT_0044,영종대교
125.9947222,35.35772222,S20029,F2010,안마도·석만도,근여 부근 해상,암,20.0~25.0,인천광역시 중구,0,169,DT_0044,영종대교
126.1568889,35.28694444,S20030,F2011,송이도,양골 앞 바다,암,1.5~1.7,전라남도 영광군,0,170,DT_0003,영광
126.1363889,35.29527778,S20031,F2011,송이도,큰내기 앞 바다,암,2.0~2.9,전라남도 영광군,0,171,DT_0003,영광
126.1408333,35.26672222,S20032,F2011,송이도,민머리 앞 바다,암,-0.4~0.4,전라남도 영광군,0,172,DT_0003,영광
126.2727222,34.98766667,S20033,F2013,고이도·매화도·선도·증도,선도선창부근 해상,펄,0~2.0,전라남도 신안군,0,173,DT_0007,목포
126.125,34.96397222,S20034,F2013,고이도·매화도·선도·증도,면도부근 해상,펄,1.4~2.3,전라남도 신안군,0,174,DT_0007,목포
126.0506667,34.85058333,S20035,F2014,자은도,원도 부근,암,10~16.3,전라남도 신안군,0,175,DT_0007,목포
126.3437222,34.91141667,S20036,F2016,압해도,효지도 철탑아래 해상,펄,0.1~0.7,전라남도 신안군,0,176,DT_0007,목포
126.3378333,34.91275,S20037,F2016,압해도,대교 밑 해상,펄,2.1~5.0,전라남도 신안군,0,177,DT_0007,목포
126.3318889,34.91288889,S20038,F2016,압해도,대교동측 해상,펄,2.1~4.3,전라남도 신안군,0,178,DT_0007,목포
126.3705556,34.82069444,S20039,F2016,압해도,압해도 선착장 앞 해상,펄,12.9~19.6,전라남도 신안군,0,179,DT_0007,목포
126.1648333,34.67911111,S20040,F2019,장산도,신도 부근,암,0.3~4.9,전라남도 신안군,0,180,DT_0007,목포
126.0421111,34.22538889,S20041,F2025,상조도·하조도·관매도,고치서 북서측 간출암 부근 해상,펄,3.4~5.2,인천광역시 옹진군,0,181,IE_0062,웅진소청초
126.0366667,34.219,S20042,F2025,상조도·하조도·관매도,고치서 입표 부근 해상,"자갈, 조개껍질",18.5~20.8,인천광역시 옹진군,0,182,IE_0062,웅진소청초
125.0985556,34.10516667,S20043,F2026,가거도,두억서 부근 해상,암,11.2~17.9,전라남도 신안군,0,183,IE_0061,신안가거초
125.09375,34.09788889,S20044,F2026,가거도,"오동여, 검등여 사이 부근 해상",암,10.5~12.3,전라남도 신안군,0,184,IE_0061,신안가거초
126.7291944,34.38863889,S20045,F2027,완도,납당여 부근 해상,펄,3.0~6.0,전라남도 완도군,0,185,DT_0027,완도
126.7456667,34.37027778,S20046,F2027,완도,대야리 앞 해상,펄,10.9~18.2,전라남도 완도군,0,186,DT_0027,완도
126.7431111,34.35805556,S20047,F2027,완도,장도 앞 해상,암,9.8~10.2,전라남도 완도군,0,187,DT_0027,완도
127.0409722,34.43194444,S20048,F2029,금당도,서방여부근,암,5.4~13.6,전라남도 완도군,0,188,DT_0027,완도
127.0174444,34.32027778,S20049,F2030,금일도·생일도,낭도 부근,암,1.8~2.5,전라남도 완도군,0,189,DT_0027,완도
127.2147222,34.21408333,S20050,F2031,초 도,외항도 내항도 사이,펄,29.5~37,전라남도 여수시,0,190,DT_0016,여수
127.7304444,34.60758333,S20051,F2032,돌산도,예교마을 앞 입표 부근 해상,펄,8.7~12.8,전라남도 여수시,0,191,DT_0016,여수
127.73375,34.59902778,S20052,F2032,돌산도,신기마을 앞 노란색 부표 부근,펄,7.9~22,전라남도 여수시,0,192,DT_0016,여수
