X,Y,NAME,POINT_NM,MATERIAL,DPWT,ADR_KNM,CATEGORY,ID,OBS_CODE,OBS_POST_ID,FISH,CAUTION,LOC_INFO
126.0732222,37.27838889,덕적도·소야도,선미도 부근,모래,10~15,인천광역시 옹진군,0,11,DT_0065,덕적도,,덕적도 동쪽으로 넓게 분포하는 3m 미만의 펄이 도항수도 북부까지 분포하고 있어 소형선이라도 저조시에는 이 부근의 접근을 주의해야 한다. 소야도 북서측 돌출부와 덕적도 사이는 수중암이 뻗쳐 있어 수도를 막고 있으며 이 돌출된 곳의 북측은 만으로서 소형선의 피박지로 적당하다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 붕장어, 숭어, 우럭, 주꾸미 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기낚시는 곤쟁이, 미꾸라지, 오징어살, 생선살, 전갱이, 참갯지렁이, 청갯지렁이, 홍갯지렁이, 크릴 등을 사용한다. 덕적도에서는 가을철에 주꾸미가 많이 올라오며 선상낚시는 인천항 연안부두에서 덕적군도로 출조하는 경우도 많다. ※ 밀물 때와 안개 발생시에는 안전사고가 빈번히 발생하므로 각별히 주의해야 한다."
126.0868889,37.25930556,덕적도·소야도,단탄 부근,모래,12~17,인천광역시 옹진군,0,12,DT_0065,덕적도,,덕적도 동쪽으로 넓게 분포하는 3m 미만의 펄이 도항수도 북부까지 분포하고 있어 소형선이라도 저조시에는 이 부근의 접근을 주의해야 한다. 소야도 북서측 돌출부와 덕적도 사이는 수중암이 뻗쳐 있어 수도를 막고 있으며 이 돌출된 곳의 북측은 만으로서 소형선의 피박지로 적당하다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 붕장어, 숭어, 우럭, 주꾸미 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기낚시는 곤쟁이, 미꾸라지, 오징어살, 생선살, 전갱이, 참갯지렁이, 청갯지렁이, 홍갯지렁이, 크릴 등을 사용한다. 덕적도에서는 가을철에 주꾸미가 많이 올라오며 선상낚시는 인천항 연안부두에서 덕적군도로 출조하는 경우도 많다. ※ 밀물 때와 안개 발생시에는 안전사고가 빈번히 발생하므로 각별히 주의해야 한다."
126.0808889,37.21611111,덕적도·소야도,용담갑 앞바다,가는모래,30~35,인천광역시 옹진군,0,13,DT_0065,덕적도,,덕적도 동쪽으로 넓게 분포하는 3m 미만의 펄이 도항수도 북부까지 분포하고 있어 소형선이라도 저조시에는 이 부근의 접근을 주의해야 한다. 소야도 북서측 돌출부와 덕적도 사이는 수중암이 뻗쳐 있어 수도를 막고 있으며 이 돌출된 곳의 북측은 만으로서 소형선의 피박지로 적당하다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 붕장어, 숭어, 우럭, 주꾸미 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기낚시는 곤쟁이, 미꾸라지, 오징어살, 생선살, 전갱이, 참갯지렁이, 청갯지렁이, 홍갯지렁이, 크릴 등을 사용한다. 덕적도에서는 가을철에 주꾸미가 많이 올라오며 선상낚시는 인천항 연안부두에서 덕적군도로 출조하는 경우도 많다. ※ 밀물 때와 안개 발생시에는 안전사고가 빈번히 발생하므로 각별히 주의해야 한다."
126.0998889,37.20563889,덕적도·소야도,감증탄 부근,바위,6~10,인천광역시 옹진군,0,14,DT_0065,덕적도,,덕적도 동쪽으로 넓게 분포하는 3m 미만의 펄이 도항수도 북부까지 분포하고 있어 소형선이라도 저조시에는 이 부근의 접근을 주의해야 한다. 소야도 북서측 돌출부와 덕적도 사이는 수중암이 뻗쳐 있어 수도를 막고 있으며 이 돌출된 곳의 북측은 만으로서 소형선의 피박지로 적당하다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 붕장어, 숭어, 우럭, 주꾸미 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기낚시는 곤쟁이, 미꾸라지, 오징어살, 생선살, 전갱이, 참갯지렁이, 청갯지렁이, 홍갯지렁이, 크릴 등을 사용한다. 덕적도에서는 가을철에 주꾸미가 많이 올라오며 선상낚시는 인천항 연안부두에서 덕적군도로 출조하는 경우도 많다. ※ 밀물 때와 안개 발생시에는 안전사고가 빈번히 발생하므로 각별히 주의해야 한다."
126.2106111,37.19452778,이작도·승봉도,벌도와 동백도 사이,가는 모래,20~27,인천광역시 옹진군,0,15,IE_0062,웅진소청초,,대이작도와 소이작도 사이에 수도가 있어서 어느 방향의 바람도 막을 수 있으므로 소형선에는 좋은 피박지이다. 대이작도 주변의 어초는 만조 때는 괜찮으나 물이 빠질 때는 위험하다. 승봉도의 북서쪽 끝에서 북쪽으로 약 1km에 해전서(높이 4.6m)가 있으며 이 간출암에는 높이 12m의 등표가 설치 되어 있다. 그리고 동쪽 끝으로부터 약 2km에 위험한 침선이 있으므로 주의해야 한다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 숭어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기는 곤쟁이, 생선살, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 미꾸라지, 크릴, 홍갯지렁이 등을 사용한다. 이작도 부근의 선상 낚시는 음력 6~12일, 21~27일이 최적기다."
126.2200833,37.19880556,이작도·승봉도,동백도 동측 앞바다,가는 모래,47~50,인천광역시 옹진군,0,16,IE_0062,웅진소청초,,대이작도와 소이작도 사이에 수도가 있어서 어느 방향의 바람도 막을 수 있으므로 소형선에는 좋은 피박지이다. 대이작도 주변의 어초는 만조 때는 괜찮으나 물이 빠질 때는 위험하다. 승봉도의 북서쪽 끝에서 북쪽으로 약 1km에 해전서(높이 4.6m)가 있으며 이 간출암에는 높이 12m의 등표가 설치 되어 있다. 그리고 동쪽 끝으로부터 약 2km에 위험한 침선이 있으므로 주의해야 한다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 숭어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기는 곤쟁이, 생선살, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 미꾸라지, 크릴, 홍갯지렁이 등을 사용한다. 이작도 부근의 선상 낚시는 음력 6~12일, 21~27일이 최적기다."
126.2604167,37.1855,이작도·승봉도,오형제바위 앞바다,펄,13~22,인천광역시 옹진군,0,17,IE_0062,웅진소청초,,대이작도와 소이작도 사이에 수도가 있어서 어느 방향의 바람도 막을 수 있으므로 소형선에는 좋은 피박지이다. 대이작도 주변의 어초는 만조 때는 괜찮으나 물이 빠질 때는 위험하다. 승봉도의 북서쪽 끝에서 북쪽으로 약 1km에 해전서(높이 4.6m)가 있으며 이 간출암에는 높이 12m의 등표가 설치 되어 있다. 그리고 동쪽 끝으로부터 약 2km에 위험한 침선이 있으므로 주의해야 한다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 숭어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기는 곤쟁이, 생선살, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 미꾸라지, 크릴, 홍갯지렁이 등을 사용한다. 이작도 부근의 선상 낚시는 음력 6~12일, 21~27일이 최적기다."
126.2879444,37.16138889,이작도·승봉도,송곳부리 앞바다,"모래, 펄, 조개껍질",8.4~10,인천광역시 옹진군,0,18,IE_0062,웅진소청초,,대이작도와 소이작도 사이에 수도가 있어서 어느 방향의 바람도 막을 수 있으므로 소형선에는 좋은 피박지이다. 대이작도 주변의 어초는 만조 때는 괜찮으나 물이 빠질 때는 위험하다. 승봉도의 북서쪽 끝에서 북쪽으로 약 1km에 해전서(높이 4.6m)가 있으며 이 간출암에는 높이 12m의 등표가 설치 되어 있다. 그리고 동쪽 끝으로부터 약 2km에 위험한 침선이 있으므로 주의해야 한다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 숭어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기는 곤쟁이, 생선살, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 미꾸라지, 크릴, 홍갯지렁이 등을 사용한다. 이작도 부근의 선상 낚시는 음력 6~12일, 21~27일이 최적기다."
126.2559722,37.16519444,이작도·승봉도,작은풀안해수욕장 앞바다,"모래, 펄",17~20,인천광역시 옹진군,0,19,IE_0062,웅진소청초,,대이작도와 소이작도 사이에 수도가 있어서 어느 방향의 바람도 막을 수 있으므로 소형선에는 좋은 피박지이다. 대이작도 주변의 어초는 만조 때는 괜찮으나 물이 빠질 때는 위험하다. 승봉도의 북서쪽 끝에서 북쪽으로 약 1km에 해전서(높이 4.6m)가 있으며 이 간출암에는 높이 12m의 등표가 설치 되어 있다. 그리고 동쪽 끝으로부터 약 2km에 위험한 침선이 있으므로 주의해야 한다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 숭어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기는 곤쟁이, 생선살, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 미꾸라지, 크릴, 홍갯지렁이 등을 사용한다. 이작도 부근의 선상 낚시는 음력 6~12일, 21~27일이 최적기다."
126.2463333,37.18022222,이작도·승봉도,선착장 앞바다,"모래, 펄",10~17,인천광역시 옹진군,0,20,IE_0062,웅진소청초,,대이작도와 소이작도 사이에 수도가 있어서 어느 방향의 바람도 막을 수 있으므로 소형선에는 좋은 피박지이다. 대이작도 주변의 어초는 만조 때는 괜찮으나 물이 빠질 때는 위험하다. 승봉도의 북서쪽 끝에서 북쪽으로 약 1km에 해전서(높이 4.6m)가 있으며 이 간출암에는 높이 12m의 등표가 설치 되어 있다. 그리고 동쪽 끝으로부터 약 2km에 위험한 침선이 있으므로 주의해야 한다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 숭어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기는 곤쟁이, 생선살, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 미꾸라지, 크릴, 홍갯지렁이 등을 사용한다. 이작도 부근의 선상 낚시는 음력 6~12일, 21~27일이 최적기다."
126.0893333,37.20363889,문갑도·선갑도,문갑도 감증탄 부근,가는 모래,14.5~18,인천광역시 옹진군,0,21,IE_0062,웅진소청초,,"문갑리의 동북쪽 돌출부를 할미취라 하며, 동쪽끝에서 동북측으로 약 180m 떨어진 곳에 높이 15m의 작은 바위섬이 있다. 문갑도 동측만 입구 남측에 길이 120m의 선착장이 있어 고조시에 접안 할 수 있다.","이 부근의 주요 어종은 넙치, 노래미, 농어, 우럭 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 오징어살, 전갱이, 갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 문갑도와 선갑도는 선착장 부근 외에는 등산로 및 낚싯배로 이동해야 하므로 포인트 이동시 안전에 주의해야 하며 특히 문갑도 갯바위 낚시시 바람이 강하고 파도가 높으므로 주의해야 한다. ※ 선갑도는 숙박업소 및 낚시점이 없으므로 생필품 등 철저한 준비를 한 후 입도하여야 한다."
126.12125,37.18672222,문갑도·선갑도,문갑도 할미취 부근,가는 모래,7.8~10,인천광역시 옹진군,0,22,IE_0062,웅진소청초,,"문갑리의 동북쪽 돌출부를 할미취라 하며, 동쪽끝에서 동북측으로 약 180m 떨어진 곳에 높이 15m의 작은 바위섬이 있다. 문갑도 동측만 입구 남측에 길이 120m의 선착장이 있어 고조시에 접안 할 수 있다.","이 부근의 주요 어종은 넙치, 노래미, 농어, 우럭 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 오징어살, 전갱이, 갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 문갑도와 선갑도는 선착장 부근 외에는 등산로 및 낚싯배로 이동해야 하므로 포인트 이동시 안전에 주의해야 하며 특히 문갑도 갯바위 낚시시 바람이 강하고 파도가 높으므로 주의해야 한다. ※ 선갑도는 숙박업소 및 낚시점이 없으므로 생필품 등 철저한 준비를 한 후 입도하여야 한다."
126.0436944,37.09236111,문갑도·선갑도,선갑도 서측 바다,가는 모래,35~40,인천광역시 옹진군,0,23,IE_0062,웅진소청초,,"문갑리의 동북쪽 돌출부를 할미취라 하며, 동쪽끝에서 동북측으로 약 180m 떨어진 곳에 높이 15m의 작은 바위섬이 있다. 문갑도 동측만 입구 남측에 길이 120m의 선착장이 있어 고조시에 접안 할 수 있다.","이 부근의 주요 어종은 넙치, 노래미, 농어, 우럭 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 오징어살, 전갱이, 갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 문갑도와 선갑도는 선착장 부근 외에는 등산로 및 낚싯배로 이동해야 하므로 포인트 이동시 안전에 주의해야 하며 특히 문갑도 갯바위 낚시시 바람이 강하고 파도가 높으므로 주의해야 한다. ※ 선갑도는 숙박업소 및 낚시점이 없으므로 생필품 등 철저한 준비를 한 후 입도하여야 한다."
126.0809722,37.05872222,문갑도·선갑도,선갑도 우두암 부근,"펄, 모래",36~39,인천광역시 옹진군,0,24,IE_0062,웅진소청초,,"문갑리의 동북쪽 돌출부를 할미취라 하며, 동쪽끝에서 동북측으로 약 180m 떨어진 곳에 높이 15m의 작은 바위섬이 있다. 문갑도 동측만 입구 남측에 길이 120m의 선착장이 있어 고조시에 접안 할 수 있다.","이 부근의 주요 어종은 넙치, 노래미, 농어, 우럭 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 오징어살, 전갱이, 갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 문갑도와 선갑도는 선착장 부근 외에는 등산로 및 낚싯배로 이동해야 하므로 포인트 이동시 안전에 주의해야 하며 특히 문갑도 갯바위 낚시시 바람이 강하고 파도가 높으므로 주의해야 한다. ※ 선갑도는 숙박업소 및 낚시점이 없으므로 생필품 등 철저한 준비를 한 후 입도하여야 한다."
125.9461389,37.06466667,백아도·굴업도,백아도 오도 부근,펄,6.2~10,인천광역시 옹진군,0,25,IE_0062,웅진소청초,,"백아도 동방 약 2km의 벌도, 계도, 관도, 광대도 등 다수의 바위섬과 험초가 있고 그 사이의 수심은 18~64m이며 매우 불규칙한 조류가 흐르므로 선박은 통항하지 않는 것이 좋다.","이 부근의 주요 어종은 넙치, 노래미, 농어, 붕장어, 우럭 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 백아도와 굴업도의 갯바위 낚시는 언제나 조황이 좋지만 등산로나 낚싯배로만 진입이 가능하다"
125.9687222,37.05686111,백아도·굴업도,백아도 광대도 부근,"모래, 펄",3.8~5.2,인천광역시 옹진군,0,26,IE_0062,웅진소청초,,"백아도 동방 약 2km의 벌도, 계도, 관도, 광대도 등 다수의 바위섬과 험초가 있고 그 사이의 수심은 18~64m이며 매우 불규칙한 조류가 흐르므로 선박은 통항하지 않는 것이 좋다.","이 부근의 주요 어종은 넙치, 노래미, 농어, 붕장어, 우럭 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 백아도와 굴업도의 갯바위 낚시는 언제나 조황이 좋지만 등산로나 낚싯배로만 진입이 가능하다"
125.9991944,37.19883333,백아도·굴업도,굴업도 동뿌리 앞바다,가는 모래,40~43,인천광역시 옹진군,0,27,IE_0062,웅진소청초,,"백아도 동방 약 2km의 벌도, 계도, 관도, 광대도 등 다수의 바위섬과 험초가 있고 그 사이의 수심은 18~64m이며 매우 불규칙한 조류가 흐르므로 선박은 통항하지 않는 것이 좋다.","이 부근의 주요 어종은 넙치, 노래미, 농어, 붕장어, 우럭 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 백아도와 굴업도의 갯바위 낚시는 언제나 조황이 좋지만 등산로나 낚싯배로만 진입이 가능하다"
125.9805,37.18013889,백아도·굴업도,굴업도 항도 부근,펄,5~6.2,인천광역시 옹진군,0,28,IE_0062,웅진소청초,,"백아도 동방 약 2km의 벌도, 계도, 관도, 광대도 등 다수의 바위섬과 험초가 있고 그 사이의 수심은 18~64m이며 매우 불규칙한 조류가 흐르므로 선박은 통항하지 않는 것이 좋다.","이 부근의 주요 어종은 넙치, 노래미, 농어, 붕장어, 우럭 등이다. 루어낚시는 그럽웜, 미노우플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 백아도와 굴업도의 갯바위 낚시는 언제나 조황이 좋지만 등산로나 낚싯배로만 진입이 가능하다"
